hit_title,e_value,identity_pct,align_length,query_coverage
sp|O77666.2| RecName: Full=Tripartite motif-containing protein 26; AltName: Full=Zinc finger protein 173 [Sus scrofa],5.4303e-07,29.76,84,4.51
sp|Q3UWZ0.1| RecName: Full=Tripartite motif-containing protein 75 [Mus musculus],5.59243e-07,30.99,71,3.81
sp|Q865W2.1| RecName: Full=E3 ubiquitin-protein ligase TRIM50; AltName: Full=RING-type E3 ubiquitin transferase TRIM50; AltName: Full=Tripartite motif-containing protein 50 [Sus scrofa],8.55987e-07,33.85,65,3.49
sp|P61592.1| RecName: Full=Microcephalin [Hylobates lar],8.78216e-07,25.67,187,10.04
sp|Q95216.1| RecName: Full=DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF; AltName: Full=Helicase-like transcription factor; Short=HLTF; AltName: Full=RING-type E3 ubiquitin transferase HLTF; AltName: Full=RUSH-1; AltName: Full=SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3; AltName: Full=Sucrose nonfermenting protein 2-like 3 [Oryctolagus cuniculus],1.07773e-06,43.4,53,2.84
sp|Q6PCN7.1| RecName: Full=DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF; AltName: Full=Helicase-like transcription factor; Short=HLTF; AltName: Full=P113; AltName: Full=RING-type E3 ubiquitin transferase HLTF; AltName: Full=SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3; AltName: Full=Sucrose nonfermenting protein 2-like 3; AltName: Full=TNF-response element-binding protein [Mus musculus],1.08623e-06,38.24,68,3.65
sp|Q61510.2| RecName: Full=E3 ubiquitin/ISG15 ligase TRIM25; AltName: Full=Estrogen-responsive finger protein; AltName: Full=RING-type E3 ubiquitin transferase; AltName: Full=RING-type E3 ubiquitin transferase TRIM25; AltName: Full=Tripartite motif-containing protein 25; AltName: Full=Ubiquitin/ISG15-conjugating enzyme TRIM25; AltName: Full=Zinc finger protein 147 [Mus musculus],2.17549e-06,37.33,75,4.03
sp|Q1XH17.1| RecName: Full=Tripartite motif-containing protein 72; AltName: Full=Mitsugumin-53; Short=Mg53 [Mus musculus],3.57596e-06,31.08,74,3.97
sp|Q8K243.1| RecName: Full=E3 ubiquitin-protein ligase TRIM68; AltName: Full=RING finger protein 137; AltName: Full=RING-type E3 ubiquitin transferase TRIM68; AltName: Full=Tripartite motif-containing protein 68 [Mus musculus],3.91864e-06,28.37,141,7.57
sp|Q640S6.1| RecName: Full=Tripartite motif-containing protein 72; AltName: Full=Mitsugumin-53; Short=Mg53 [Xenopus tropicalis],4.24772e-06,34.62,78,4.19
sp|Q86XT4.2| RecName: Full=E3 ubiquitin-protein ligase TRIM50; AltName: Full=RING-type E3 ubiquitin transferase TRIM50; AltName: Full=Tripartite motif-containing protein 50 [Homo sapiens],5.00234e-06,33.85,65,3.49
sp|A0JPQ4.1| RecName: Full=Tripartite motif-containing protein 72; AltName: Full=Mitsugumin-53; Short=Mg53 [Rattus norvegicus],6.53166e-06,29.73,74,3.97
sp|Q9C037.2| RecName: Full=E3 ubiquitin-protein ligase TRIM4; AltName: Full=RING finger protein 87; AltName: Full=RING-type E3 ubiquitin transferase TRIM4; AltName: Full=Tripartite motif-containing protein 4 [Homo sapiens],6.84011e-06,33.82,68,3.65
sp|Q5R9J5.1| RecName: Full=E3 ubiquitin-protein ligase RING2; AltName: Full=RING finger protein 1B; Short=RING1b; AltName: Full=RING finger protein 2; AltName: Full=RING-type E3 ubiquitin transferase RING2 [Pongo abelii],7.0349e-06,37.31,67,3.6
sp|P15533.2| RecName: Full=Tripartite motif-containing protein 30A; AltName: Full=Down regulatory protein of interleukin-2 receptor; AltName: Full=Tripartite motif-containing protein 30 [Mus musculus],7.28148e-06,35.9,78,4.19
sp|Q9CQJ4.1| RecName: Full=E3 ubiquitin-protein ligase RING2; AltName: Full=RING finger protein 1B; Short=RING1b; AltName: Full=RING finger protein 2; AltName: Full=RING-type E3 ubiquitin transferase RING2 [Mus musculus],7.28782e-06,37.31,67,3.6
sp|Q4KLY4.1| RecName: Full=E3 ubiquitin-protein ligase RING2; AltName: Full=RING finger protein 1B; Short=RING1b; AltName: Full=RING finger protein 2; AltName: Full=RING-type E3 ubiquitin transferase RING2 [Rattus norvegicus],7.46896e-06,37.31,67,3.6
sp|Q99496.1| RecName: Full=E3 ubiquitin-protein ligase RING2; AltName: Full=Huntingtin-interacting protein 2-interacting protein 3; Short=HIP2-interacting protein 3; AltName: Full=Protein DinG; AltName: Full=RING finger protein 1B; Short=RING1b; AltName: Full=RING finger protein 2; AltName: Full=RING finger protein BAP-1; AltName: Full=RING-type E3 ubiquitin transferase RING2 [Homo sapiens],7.54982e-06,37.31,67,3.6
sp|A0JN74.1| RecName: Full=E3 ubiquitin-protein ligase TRIM11; AltName: Full=Tripartite motif-containing protein 11 [Bos taurus],7.83502e-06,32.84,67,3.6
sp|Q803I4.1| RecName: Full=E3 ubiquitin-protein ligase RING2; AltName: Full=RING finger protein 1B; Short=RING1b; AltName: Full=RING finger protein 2; AltName: Full=RING-type E3 ubiquitin transferase RING2 [Danio rerio],8.03113e-06,37.31,67,3.6
sp|Q2YEN2.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Macaca assamensis],8.88528e-06,35.71,70,3.76
sp|Q8WVD3.1| RecName: Full=E3 ubiquitin-protein ligase RNF138; AltName: Full=Nemo-like kinase-associated RING finger protein; Short=NLK-associated RING finger protein; Short=hNARF; AltName: Full=RING finger protein 138; AltName: Full=RING-type E3 ubiquitin transferase RNF138 [Homo sapiens],8.90326e-06,39.22,51,2.74
sp|Q0PF16.2| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Macaca mulatta],8.96191e-06,35.71,70,3.76
sp|B1H278.1| RecName: Full=E3 ubiquitin-protein ligase TRIM11; AltName: Full=Tripartite motif-containing protein 11 [Rattus norvegicus],1.0391e-05,32.84,67,3.6
sp|Q99PQ2.1| RecName: Full=E3 ubiquitin-protein ligase TRIM11; AltName: Full=Tripartite motif-containing protein 11 [Mus musculus],1.05715e-05,32.84,67,3.6
sp|Q62191.1| RecName: Full=E3 ubiquitin-protein ligase TRIM21; AltName: Full=52 kDa Ro protein; AltName: Full=52 kDa ribonucleoprotein autoantigen Ro/SS-A; AltName: Full=Ro(SS-A); AltName: Full=Sjoegren syndrome type A antigen; Short=SS-A; AltName: Full=Tripartite motif-containing protein 21 [Mus musculus],1.17847e-05,34.67,75,4.03
sp|Q6AZZ1.1| RecName: Full=E3 ubiquitin-protein ligase TRIM68; AltName: Full=RING finger protein 137; AltName: Full=RING-type E3 ubiquitin transferase TRIM68; AltName: Full=SSA protein SS-56; Short=SS-56; AltName: Full=Tripartite motif-containing protein 68 [Homo sapiens],1.18796e-05,33.33,78,4.19
sp|Q75EN0.1| RecName: Full=Postreplication repair E3 ubiquitin-protein ligase RAD18; AltName: Full=RING-type E3 ubiquitin transferase RAD18 [Eremothecium gossypii ATCC 10895],1.19922e-05,33.05,118,6.33
sp|Q5D7J2.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Papio anubis],1.21035e-05,35.71,70,3.76
sp|Q5D7I2.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Pithecia pithecia],1.22573e-05,37.5,72,3.86
sp|Q5BN31.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha; AltName: Full=Tripartite motif-containing antiviral factor [Saimiri boliviensis boliviensis],1.24696e-05,31.71,82,4.4
sp|Q2YEN0.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Macaca nemestrina],1.24886e-05,35.71,70,3.76
sp|Q587N6.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Macaca fascicularis],1.24886e-05,35.71,70,3.76
sp|Q96F44.2| RecName: Full=E3 ubiquitin-protein ligase TRIM11; AltName: Full=Protein BIA1; AltName: Full=RING finger protein 92; AltName: Full=Tripartite motif-containing protein 11 [Homo sapiens],1.29094e-05,32.84,67,3.6
sp|Q810I1.1| RecName: Full=E3 ubiquitin-protein ligase TRIM50; AltName: Full=RING-type E3 ubiquitin transferase TRIM50; AltName: Full=Tripartite motif-containing protein 50 [Rattus norvegicus],1.39419e-05,30.67,75,4.03
sp|Q5D7I0.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Saimiri sciureus],1.39423e-05,31.71,82,4.4
sp|Q5D7H8.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Plecturocebus donacophilus],1.43061e-05,36.11,72,3.86
sp|Q7ZWM8.2| RecName: Full=E3 ubiquitin-protein ligase RING2-B; AltName: Full=RING finger protein 1B-B; Short=RING1b-B; AltName: Full=RING finger protein 2-B; AltName: Full=RING-type E3 ubiquitin transferase RING2-B [Xenopus laevis],1.47049e-05,37.31,67,3.6
sp|Q6CTZ8.1| RecName: Full=Postreplication repair E3 ubiquitin-protein ligase RAD18; AltName: Full=RING-type E3 ubiquitin transferase RAD18 [Kluyveromyces lactis NRRL Y-1140],1.54056e-05,31.25,80,4.29
sp|Q1XH18.1| RecName: Full=Tripartite motif-containing protein 72; AltName: Full=Mitsugumin-53; Short=Mg53 [Oryctolagus cuniculus],1.58416e-05,29.73,74,3.97
sp|Q66J69.1| RecName: Full=E3 ubiquitin-protein ligase RING2-A; AltName: Full=RING finger protein 1B-A; Short=RING1b-A; AltName: Full=RING finger protein 2-A; AltName: Full=RING-type E3 ubiquitin transferase RING2-A [Xenopus laevis],1.64128e-05,37.31,67,3.6
sp|D3YY23.2| RecName: Full=LON peptidase N-terminal domain and RING finger protein 1 [Mus musculus],1.68866e-05,37.88,66,3.54
sp|Q55BF8.1| RecName: Full=RING finger domain and kelch repeat-containing protein DDB_G0271372 [Dictyostelium discoideum],1.7225e-05,36.11,72,3.86
sp|Q9FF61.1| RecName: Full=Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 1; Short=SMARCA3-like protein 1 [Arabidopsis thaliana],1.85338e-05,35.82,67,3.6
sp|Q8IYM9.1| RecName: Full=E3 ubiquitin-protein ligase TRIM22; AltName: Full=50 kDa-stimulated trans-acting factor; AltName: Full=RING finger protein 94; AltName: Full=RING-type E3 ubiquitin transferase TRIM22; AltName: Full=Staf-50; AltName: Full=Tripartite motif-containing protein 22 [Homo sapiens],2.08164e-05,32.88,73,3.92
sp|Q17RB8.2| RecName: Full=LON peptidase N-terminal domain and RING finger protein 1; AltName: Full=RING finger protein 191 [Homo sapiens],2.2275e-05,37.88,66,3.54
sp|Q6PGR9.1| RecName: Full=Tripartite motif-containing protein 72; AltName: Full=Mitsugumin-53; Short=Mg53 [Xenopus laevis],2.25371e-05,33.33,78,4.19
sp|Q5C8U1.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Saguinus labiatus],2.60924e-05,36.11,72,3.86
sp|Q1ACD5.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Saguinus oedipus],2.63173e-05,36.11,72,3.86
sp|P19474.1| RecName: Full=E3 ubiquitin-protein ligase TRIM21; AltName: Full=52 kDa Ro protein; AltName: Full=52 kDa ribonucleoprotein autoantigen Ro/SS-A; AltName: Full=RING finger protein 81; AltName: Full=Ro(SS-A); AltName: Full=Sjoegren syndrome type A antigen; Short=SS-A; AltName: Full=Tripartite motif-containing protein 21 [Homo sapiens],2.69089e-05,33.33,75,4.03
sp|O35730.2| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1; AltName: Full=Transcription repressor Ring1A [Mus musculus],3.00646e-05,37.31,67,3.6
sp|Q6MFY8.1| RecName: Full=E3 ubiquitin ligase TRIM40; AltName: Full=Probable E3 NEDD8-protein ligase; AltName: Full=RING finger protein 35 [Rattus norvegicus],3.03522e-05,43.18,44,2.36
sp|Q32LN5.1| RecName: Full=E3 ubiquitin-protein ligase RNF138; AltName: Full=RING finger protein 138; AltName: Full=RING-type E3 ubiquitin transferase RNF138 [Bos taurus],3.08766e-05,34.38,64,3.44
sp|P43254.2| RecName: Full=E3 ubiquitin-protein ligase COP1; AltName: Full=Constitutive photomorphogenesis protein 1; AltName: Full=RING-type E3 ubiquitin transferase COP1 [Arabidopsis thaliana],3.19606e-05,36.62,71,3.81
sp|Q9VB08.1| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=RING-type E3 ubiquitin transferase RING1; AltName: Full=Sex comb extra protein; AltName: Full=dRING protein; AltName: Full=dRING1 [Drosophila melanogaster],3.32402e-05,37.31,67,3.6
sp|Q5D7I5.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Cebuella pygmaea],3.37552e-05,36.11,72,3.86
sp|P93030.1| RecName: Full=E3 ubiquitin-protein ligase RMA2; AltName: Full=Protein RING membrane-anchor 2; AltName: Full=RING-type E3 ubiquitin transferase RMA2 [Arabidopsis thaliana],3.38789e-05,32.31,65,3.49
sp|Q6ZMU5.2| RecName: Full=Tripartite motif-containing protein 72; AltName: Full=Mitsugumin-53; Short=Mg53 [Homo sapiens],3.46383e-05,29.73,74,3.97
sp|Q5D7J0.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Colobus guereza],3.46854e-05,34.29,70,3.76
sp|Q5NCC9.1| RecName: Full=E3 ubiquitin-protein ligase TRIM58; AltName: Full=RING-type E3 ubiquitin transferase TRIM58; AltName: Full=Tripartite motif-containing protein 58 [Mus musculus],3.50699e-05,22.04,186,9.98
sp|Q1L5Z9.3| RecName: Full=LON peptidase N-terminal domain and RING finger protein 2; AltName: Full=Neuroblastoma apoptosis-related protease; AltName: Full=RING finger protein 192 [Homo sapiens],3.67165e-05,34.85,66,3.54
sp|Q6MGB6.2| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1 [Rattus norvegicus],3.83243e-05,37.31,67,3.6
sp|Q2TBT8.1| RecName: Full=RING finger protein 151 [Bos taurus],4.00925e-05,31.75,63,3.38
sp|Q12899.1| RecName: Full=Tripartite motif-containing protein 26; AltName: Full=Acid finger protein; Short=AFP; AltName: Full=RING finger protein 95; AltName: Full=Zinc finger protein 173 [Homo sapiens],4.10112e-05,26.67,75,4.03
sp|Q7YR34.1| RecName: Full=Tripartite motif-containing protein 26; AltName: Full=Zinc finger protein 173 [Pan troglodytes],4.10112e-05,26.67,75,4.03
sp|Q9CQE0.1| RecName: Full=E3 ubiquitin-protein ligase RNF138; AltName: Full=RING finger protein 138; AltName: Full=RING-type E3 ubiquitin transferase RNF138 [Mus musculus],4.28875e-05,34.38,64,3.44
sp|Q06587.2| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1; AltName: Full=Really interesting new gene 1 protein [Homo sapiens],4.28953e-05,37.31,67,3.6
sp|Q5D7I9.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Pygathrix nemaeus],4.52556e-05,34.29,70,3.76
sp|Q8BGE7.1| RecName: Full=Tripartite motif-containing protein 6; AltName: Full=RING-type E3 ubiquitin transferase TRIM6 [Mus musculus],4.59707e-05,34.29,70,3.76
sp|Q99PD2.1| RecName: Full=E3 ubiquitin-protein ligase RNF138; AltName: Full=RING finger protein 138; AltName: Full=RING-type E3 ubiquitin transferase RNF138 [Rattus norvegicus],4.8524e-05,39.22,51,2.74
sp|Q8HXH0.1| RecName: Full=LON peptidase N-terminal domain and RING finger protein 3 [Macaca fascicularis],4.97437e-05,36.76,68,3.65
sp|Q5TJF3.2| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1; AltName: Full=RING1a [Canis lupus familiaris],5.37355e-05,37.31,67,3.6
sp|A1YFY1.1| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1 [Pan paniscus] >sp|A2T6X5.1| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1 [Pan troglodytes] >sp|Q8WMN5.1| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1 [Macaca mulatta],5.56404e-05,37.31,67,3.6
sp|A1YER5.1| RecName: Full=E3 ubiquitin-protein ligase RING1; AltName: Full=Polycomb complex protein RING1; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase RING1 [Gorilla gorilla gorilla],5.56404e-05,37.31,67,3.6
sp|Q9HCM9.2| RecName: Full=E3 ubiquitin-protein ligase TRIM39; AltName: Full=RING finger protein 23; AltName: Full=RING-type E3 ubiquitin transferase TRIM39; AltName: Full=Testis-abundant finger protein; AltName: Full=Tripartite motif-containing protein 39 [Homo sapiens],5.58551e-05,36.07,61,3.27
"sp|Q91431.1| RecName: Full=Nuclear factor 7, ovary; Short=xNF7-O [Xenopus laevis]",5.67356e-05,44.0,50,2.68
sp|Q1XHU0.1| RecName: Full=E3 ubiquitin-protein ligase TRIM39; AltName: Full=RING-type E3 ubiquitin transferase TRIM39; AltName: Full=Tripartite motif-containing protein 39 [Pan troglodytes],5.68201e-05,36.07,61,3.27
sp|Q6MFZ5.1| RecName: Full=E3 ubiquitin-protein ligase TRIM39; AltName: Full=RING finger protein 23; AltName: Full=RING-type E3 ubiquitin transferase TRIM39; AltName: Full=Tripartite motif-containing protein 39 [Rattus norvegicus],5.84615e-05,36.07,61,3.27
sp|Q9ESN2.1| RecName: Full=E3 ubiquitin-protein ligase TRIM39; AltName: Full=RING finger protein 23; AltName: Full=RING-type E3 ubiquitin transferase TRIM39; AltName: Full=Testis-abundant finger protein; AltName: Full=Tripartite motif-containing protein 39 [Mus musculus],6.15512e-05,36.07,61,3.27
sp|Q5D7J1.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Pan troglodytes],6.36066e-05,35.21,71,3.81
sp|Q810I2.1| RecName: Full=E3 ubiquitin-protein ligase TRIM50; AltName: Full=RING-type E3 ubiquitin transferase TRIM50; AltName: Full=Tripartite motif-containing protein 50 [Mus musculus],6.54482e-05,31.88,69,3.7
sp|Q9C035.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING finger protein 88; AltName: Full=RING-type E3 ubiquitin transferase TRIM5 [Homo sapiens],6.63947e-05,35.21,71,3.81
sp|Q1ACD7.1| RecName: Full=Tripartite motif-containing protein 5; AltName: Full=RING-type E3 ubiquitin transferase TRIM5; AltName: Full=TRIM5alpha [Nomascus leucogenys],6.88084e-05,33.8,71,3.81
sp|Q8R0K2.1| RecName: Full=E3 ubiquitin-protein ligase TRIM31; AltName: Full=Tripartite motif-containing protein 31 [Mus musculus],6.94191e-05,31.88,69,3.7
